GC46,1962.00 ,D:Cukor,PU:,SU:,prc,Ctxx,,lc,,|,,,,,,,,,,,,,
GC47,1963.00 ,D:Cukor,PN:Henry Weinstein (1962)Henry Schipper(1990),St:Fox,"Tcol,TV","Romt,Comd",,"island, Pacific","NT(not finished, partially shown 1990) Le(1h)",|,,,,,,,,,,,,,
GC48,1963.00 ,D:Cukor,PN:J.Warner,"St:CBS, Warners",\Tcol,Musc,"AA, H***","London, England",R(G) B(George Bernard Shaw) C(Harry Stradling; AA) M(Frederick Loewe) W(Alan Jay Lerner; AAN),|,,,,,,,,,,,,,
GC49,1969.00 ,D:Cukor,PU:,SU:,prc,Ctxx,,lc,,|,,,,,,,,,,,,,
GC50,1973.00 ,D:Cukor,PU:,SU:,prc,Ctxx,,lc,,|,,,,,,,,,,,,,
GC51,1975.00 ,D:Cukor,PU:,SU:,TV,Ctxx,,lc,,|,,,,,,,,,,,,,
GC52,1976.00 ,D:Cukor,PN:Edward Lewis,"St:Fox, Lenfilm",\Tcol,Fant,H,,"NT(US,USSR coproduction)",|,,,,,,,,,,,,,
GC53,1979.00 ,D:Cukor,PU:,SU:,TV,Ctxx,,lc,,|,,,,,,,,,,,,,
GC54,1981.00 ,D:Cukor,PN:William Allyn,St:MGM,\Mcol,Dram,"H, CG**",,R(R),|,,,,,,,,,,,,,
HAA,1930.00 ,D:dAbbabie,prds,st.,p,ct,aw,lc,Nt(first?),|,,,,,,,,,,,,,
HAA10,1930.00 ,D:dAbbabie,P:Selznick,St:Paramount,bnw,"Comd,Romt",aw,lc,,|,,,,,,,,,,,,,
HAA15,1933.00 ,D:dAbbabie,P:Selznick,St:RKO,bnw,"Comd,Romt",aw,France,,|,,,,,,,,,,,,,
HHu,1930.00 ,D:H.Hughes,prds,st.,p,ct,aw,lc,"Nt(first, etc.)",|,,,,,,,,,,,,,
HHu1,1930.00 ,D:H.Hughes,P:H.Hughes,SU:,"bnw,col",Advt,H****,,"C(Tony Gaudio, Harry Perry, E.Burton Steene; AAN)Seen(10Jan1990)",|,,,,,,,,,,,,,
HHu2,1948.00 ,D:H.Hughes,P:H.Hughes,SU:,,West,H*,West,CoD(Hawks),,|,,,,,,,,,,,,
HHu3,1950.00 ,D:H.Hughes,P:H.Hughes,SU:,prc,Ctxx,aw,lc,,|,,,,,,,,,,,,,
HMF,1930.00 ,D:MacFadden,prds,st.,p,ct,aw,lc,"Nt(first, etc)",|,,,,,,,,,,,,,
HMF10,1930.00 ,D:MacFadden,PN:,SU:,prc,Ctxx,aw,lc,,|,,,,,,,,,,,,,
HMF20,1931.00 ,D:MacFadden,PN:,St:Fox,bnw,"Myst,Comd",,,Ser(Charlie Chan; 4),|,,,,,,,,,,,,,
HMF22,1931.00 ,D:MacFadden,PN:,St:Fox,bnw,"Myst,Comd",,,Ser(Charlie Chan; 5),|,,,,,,,,,,,,,
HMF25,1933.00 ,D:MacFadden,PN:,St:Fox,bnw,"Myst,Comd",,,Ser(Charlie Chan; 7),|,,,,,,,,,,,,,
HMF30,1933.00 ,D:MacFadden,PN:,SU:,,Comd,|,,,,,,,,,,,,,,,,
HoH,1930.00 ,D:Henley,prds,st.,p,ct,aw,lc,Nt(first?),|,,,,,,,,,,,,,
HoH10,1930.00 ,D:Henley,PN:,SU:,prc,Musc,aw,Atlantic,W(P.Sturges),|,,,,,,,,,,,,,
HoH12,1931.00 ,D:Henley,PU:,S:Universal,bnw,Romt,aw,,B(Booth Tarkinton) C(Karl Frend),|,,,,,,,,,,,,,
HPC,1930.00 ,D:H.Carver,prds,st.,p,ct,aw,lc,Nt(first?),|,,,,,,,,,,,,,
HPC10,1930.00 ,D:H.Carver,PN:,St:Paramount,sbw,Docu,aw,"reservation, West",,|,,,,,,,,,,,,,
IB,1930.00 ,D:Brahm,prds,st.,p,ct,aw,lc,Nt(first?),|,,,,,,,,,,,,,
IB8,1936.00 ,D:Brahm,PN:Julius Hagen,St:Twickenham,bnw,Dram,aw,lc,,|,,,,,,,,,,,,,
IB14,1940.00 ,D:Brahm,PN:Sam Bisschoff,St:Columbia,bnw,Ctxx,aw,lc,,|,,,,,,,,,,,,,
IB16,1942.00 ,D:Brahm,PN:,St:England,|,,,,,,,,,,,,,,,,,,
IB17,1942.00 ,D:Brahm,PN:,St:England,|,,,,,,,,,,,,,,,,,,
IB18,1943.00 ,D:Brahm,PN:William LeBaron,St:Fox,bnw,,,,Seen(14Mar1988),|,,,,,,,,,,,,,
IB19,1944.00 ,D:Brahm,PN:,St:England,,Susp,,"London, England",Nt(Jack the Ripper),|,,,,,,,,,,,,,
IB20,1944.00 ,D:Brahm,PN:Robert Bassler,"St:Fox, SL:England",bnw,"Horr,Susp,Dram",H*,"London, England; T(1903)","M(Herrmann) V(Lyle Wheeler, Maurice Ransford) C(Joseph LaShelle)",|,,,,,,,,,,,,,
IB21,1944.00 ,D:Brahm,P:Stromberg,SL:USA,bnw,Dram,H*,lc,M(Werner Janssen; AAN),|,,,,,,,,,,,,,
IB22,1946.00 ,D:Brahm,PN:,St:England,,"Susp, Noir",|,,,,,,,,,,,,,,,,
IB30,1954.00 ,D:Brahm,PN:,SU:,,Horr,|,,,,,,,,,,,,,,,,
IB100,1959.00 ,D:Brahm,P:Hitchcock,"St:Shamley, CBS",bnw,Susp,,"slum, NorthEast","TV(10May1959) Le(30m) Seen(18Dec1990) VT(N:HP2,HR3)",|,,,,,,,,,,,,,
IB101,1959.00 ,D:Brahm,"P:Hitchcock, J.Harrison","St:Shamley, CBS",bnw,Susp,,"SF, CA; winery, CA",TV(8Nov1959) Le(30m) VT(N:HP9) Seen(9Mar1991),|,,,,,,,,,,,,,
IB102,1960.00 ,D:Brahm,"P:Hitchcock, J.Harrison","St:Shamley, CBS",bnw,Susp,,"cottage, csd, USA","TV(27Mar1960) Le(30m) B(Robert~Bloch) VT()n(HP4, names inc.)",|,,,,,,,,,,,,,
IB103,1960.00 ,D:Brahm,"P:Hitchcock, J.Harrison","St:Shamley, CBS",bnw,Susp,,"cabin, csd, NorthEast",TV(17Apr1960) Le(30m) W(Robert~Bloch) VT() Seen(6Jan1990),|,,,,,,,,,,,,,
IB104,1960.00 ,D:Brahm,"P:Hitchcock, J.Harrison","St:Revue, CBS",bnw,Susp,,"ship, South Atlantic",TV(1May1960) Le(30m) B(H.deVere Stacpoole) Seen(18Dec1992) VT(N:HD1-2),|,,,,,,,,,,,,,
IB105,1960.00 ,D:Brahm,"P:Hitchcock, J.Harrison","St:Shamley, CBS",bnw,Susp,,,TV(9May1960) Le(30m) W(B(Henry Slesar)) VT(N:HP5),|,,,,,,,,,,,,,
IB106,1960.00 ,D:Brahm,"P:Hitchcock, J.Harrison","St:Shamley, CBS",bnw,Susp,,"train, NYC, NY",TV(25Oct1960) Le(30m) B(John Cheever) VT(N:HP6) Seen(15Feb1991),|,,,,,,,,,,,,,
IB107,1960.00 ,D:Brahm,"P:Hitchcock, J.Harrison","St:Shamley, CBS",bnw,Susp,,home,"TV(1Nov1960) Le(30m) B(Henry Slesar, Jay Folb) VT(N:HP4) Seen(9Feb1991)",|,,,,,,,,,,,,,
IB108,1961.00 ,D:Brahm,P:Hitchcock,"St:Shamley, CBS",bnw,Susp,,,TV(28Feb1961) Le(30m),|,,,,,,,,,,,,,
IB109,1962.00 ,D:Brahm,P:Hitchcock,"St:Shamley, CBS",bnw,Susp,,,TV(27Sept1962) Le(1h),|,,,,,,,,,,,,,
IB110,1963.00 ,D:Brahm,P:Hitchcock,"St:Shamley, CBS",bnw,Susp,,,TV(12Apr1963) Le(1h),|,,,,,,,,,,,,,
IB111,1964.00 ,D:Brahm,P:Hitchcock,"St:Shamley,CBS",bnw,Susp,,"London, England",TV(6Mar1964) Le(1h) B(Rex Marquis),|,,,,,,,,,,,,,
IB112,1965.00 ,D:Brahm,P:Hitchcock,St:CBS,bnw,Susp,,"town, USA",TV(18Jan65) Le(1h) B(Robert~Bloch),|,,,,,,,,,,,,,
IB113,1965.00 ,D:Brahm,P:Hitchcock,St:CBS,bnw,Susp,,"town, USA",TV(2Feb1965) Le(1h) B(Stanley Abbott),|,,,,,,,,,,,,,
IB150,1967.00 ,D:Brahm,PN:Sam Katzman,St:MGM,\Mcol,Actn,,"roads, CA",Alt(T:52 Miles to Terror; 1968),|,,,,,,,,,,,,,
JC,1930.00 ,D:Cocteau,prds,st.,p,ct,aw,lc,Nt(first),|,,,,,,,,,,,,,
JC1,1930.00 ,D:Cocteau,PN:,SU:,,Surr,,,W(Cocteau) M(Georges Auric) C(Georges Perinal) Alt(T:The Blood of a Poet; USA),|,,,,,,,,,,,,,
JC6,1946.00 ,D:Cocteau,PN:,SU:,bnw,Fant,,,"castle, village, France; T(1750)",Nt(first full-length) C(Henri Alekan) V(Christian B\'erard) Alt(T:The Beauty and the Beast; USA),|,,,,,,,,,,,,
JC9,1949.00 ,D:Cocteau,P:,St:Sirius,bnw,"Dram,Comd",H**,lc,M(Georges Auric) WB((Cocteau)),|,,,,,,,,,,,,,
JC10,1949.00 ,D:Cocteau,PN:,SU:,prc,Dram,aw,lc,Ty(surreal) W(Cocteau),|,,,,,,,,,,,,,
JC11,1959.00 ,D:Cocteau,PN:,SU:,prc,Dram,aw,lc,Ty(surreal) W(Cocteau),|,,,,,,,,,,,,,
JPa,1930.00 ,D:Parrott,prds,st.,p,ct,aw,lc,Nt(first?),|,,,,,,,,,,,,,
JPa7,1930.00 ,D:Parrott,P:Roach,SL:US,bnw,Comd,H***,,"Le(20m) W(McCarey, H.M. Walker)",|,,,,,,,,,,,,,
JPa8,1930.00 ,D:Parrott,P:Roach,SL:US,bnw,Comd,H*,,"W(McCarey, H.M. Walker)",|,,,,,,,,,,,,,
JPa9,1931.00 ,D:Parrott,P:,SU:,bnw,Comd,H*,,"W(McCarey, H.M. Walker)",|,,,,,,,,,,,,,
JPa10,1932.00 ,D:Parrott,P:Roach,SL:US,bnw,Comd,H***,,W(H.M. Walker),|,,,,,,,,,,,,,
JPa12,1932.00 ,D:Parrott,P:Roach,SL:US,bnw,Comd,"H****, AA","house with long flight of steps, town, US",Le(short) W(H.M. Walker),|,,,,,,,,,,,,,
JPa14,1932.00 ,D:Parrott,P:Roach,SL:US,bnw,Comd,H**,"hospital, USA",W(H.M. Walker),|,,,,,,,,,,,,,
JPa40,1935.00 ,D:Parrott,P:,SU:,bnw,,H-,|,,,,,,,,,,,,,,,
JVi,1930.00 ,D:Vigo,prds,st.,p,ct,aw,lc,Nt(All),|,,,,,,,,,,,,,
JVi10,1932.00 ,D:Vigo,PN:,St:Gaumont,bws,"Fant, Surr",H**,"school, France",Le(42 min) Alt(T:Zero for Conduct; USA),|,,,,,,,,,,,,,
JVi11,1932.00 ,D:Vigo,PN:,SU:,prc,BioP,,,Le(10),|,,,,,,,,,,,,,
JVi21,1934.00 ,D:Vigo,PN:,St:Gaumont,prc,Dram,aw,lc,Le(11 min) C(Boris Kaufman),|,,,,,,,,,,,,,
JVi23,1934.00 ,D:Vigo,PN:Jacques LouisNounez,St:Gaumont,bnw,Romt,,"Seine river, France","M(Maurice Jaubert) Nt(restored; 1940,1990) E(Louis Chavance)C(Boris Kaufman) Seen(11Jan1991)",|,,,,,,,,,,,,,
JW,1930.00 ,D:Whale,prds,st.,p,ct,aw,lc,Nt(first),|,,,,,,,,,,,,,
JW1,1931.00 ,D:Whale,P:Laemmle~jr.,St:Universal,bnw,,H*,london. England,,|,,,,,,,,,,,,,
JW2,1931.00 ,D:Whale,P:Laemmle~jr.,"St:Realart, Universal",bnw,Horr,H****,Transsylvania,"W(Garret Fort, Francis Edward Faragoh, John L. Barderston, Florey), B(Mary Wollstonecraft Shelley) C(Arthur Edeson) V(Charles D. Hall)",|,,,,,,,,,,,,,
JW4,1932.00 ,D:Whale,P:Laemmle~jr,S:Univeral,bnw,"Horr,Comd",H****,"mansion, csd, Wales",,|,,,,,,,,,,,,,
JW6,1933.00 ,D:Whale,PN:,St:Universal,bnw,ScFi,aw,lc,B(H.G.Wells),|,,,,,,,,,,,,,
JW9,1935.00 ,D:Whale,P:Laemmle~jr,St:Universal,bnw,Horr,H****,Transylvania,"W(John Balderston, Anthony Veiller) M(Waxman) B(Mary Shelley)",|,,,,,,,,,,,,,
JW10,1935.00 ,D:Whale,PN:,SU:,prc,Ctxx,aw,lc,,|,,,,,,,,,,,,,
JW11,1936.00 ,D:Whale,P:Laemmle~jr,St:Universal,bnw,Musc,H***,,M(Jerome Kern) P(Hammerstein) B(Edna Ferber),|,,,,,,,,,,,,,
JW16,1938.00 ,D:Whale,PN:,SU:,prc,Ctxx,aw,lc,B(Marcel Pagnol),|,,,,,,,,,,,,,
JW17,1939.00 ,D:Whale,PN:Edward Small,SL:USA,bnw,,H**,|,,,,,,,,,,,,,,,
JW18,1940.00 ,D:Whale,PN:Harry Edgington,St:Universal,bnw,,H*,|,,,,,,,,,,,,,,,
LSw,1930.00 ,D:Schwab,prds,st.,p,ct,aw,lc,Nt(first?),|,,,,,,,,,,,,,
LSw10,1930.00 ,D:Schwab,PN:,St:Paramount,\Tcol,Musc,"golf links, USA","CoD(Lloyd Corrigan) W(DeSylva, Brown, Henderson)",|,,,,,,,,,,,,,,
MOp,1930.00 ,D:Max~Ophuls,prds,st.,p,ct,aw,lc,Nt(first),|,,,,,,,,,,,,,
MOp3,1932.00 ,D:Max~Ophuls,PN:,SU:,prc,Ctxx,aw,lc,,|,,,,,,,,,,,,,
MOp4,1932.00 ,D:Max~Ophuls,PN:Fred Lisa,SU:,bnw,Dram,H*,"Vienna, Austria; T(1900)",C(Fritz Planer),|,,,,,,,,,,,,,
MOp5,1933.00 ,D:Max~Ophuls,PN:,SU:,prc,Ctxx,aw,lc,,|,,,,,,,,,,,,,
MOp8,1934.00 ,D:Max~Ophuls,PN:,SU:,prc,Ctxx,aw,lc,,|,,,,,,,,,,,,,
MOp11,1937.00 ,D:Max~Ophuls,PN:,SU:,prc,Ctxx,aw,lc,,|,,,,,,,,,,,,,
MOp12,1938.00 ,D:Max~Ophuls,PN:,SU:,prc,Dram,aw,lc,B(Goethe),|,,,,,,,,,,,,,
MOp14,1947.00 ,D:Max~Ophuls,P:Fairbanks~jr,SU:,prc,Dram,aw,England; T(1700),W(Fairbanks~jr) C(Franz Planer),|,,,,,,,,,,,,,
MOp15,1948.00 ,D:Max~Ophuls,PN:,SU:,prc,Noir,aw,lc,,|,,,,,,,,,,,,,
MOp16,1948.00 ,D:Max~Ophuls,PN:John Houseman,St:Universal,bnw,Dram,"NFR, H****","Vienna, Austria; T(1850)",B(Stefan Zweig),|,,,,,,,,,,,,,
MOp18,1949.00 ,D:Max~Ophuls,PN:,SU:,prc,Ctxx,aw,lc,,|,,,,,,,,,,,,,
MOp19,1950.00 ,D:Max~Ophuls,PN:,St:Sacha Gordine,bnw,"Romt,Comd",H***,"Vienna, Austria; T(1900)","W(Jaques Natanson, Max~Ophuls; AAN) M(Oscar Strauss)",|,,,,,,,,,,,,,
MOp20,1952.00 ,D:Max~Ophuls,PN:,SU:,prc,Dram,aw,lc,B(Guy deMaupassant; 3 episodes),|,,,,,,,,,,,,,
MOp21,1953.00 ,D:Max~Ophuls,PN:,St:Franco-London,prc,Dram,H*,France,"M(Gluck, Mozart) C(Christian Matras) Lang(\Fr) Alt(T:The Earrings of Madame de ...; USA)",|,,,,,,,,,,,,,
MOp22,1955.00 ,D:Max~Ophuls,PN:,SU:,"col,\CS","Romt,Musc",aw,"Vienna, Austria",Lang(\Fr),|,,,,,,,,,,,,,
MOp30,1968.00 ,D:Max~Ophuls,PN:,SU:,prc,Ctxx,aw,lc,,|,,,,,,,,,,,,,
MSa,1930.00 ,D:Sandrich,prds,st.,p,ct,aw,lc,Nt(first),|,,,,,,,,,,,,,
MSa6,1934.00 ,D:Sandrich,P: Berman,St:RKO,bnw,Musc,"H****, AAN","London, England","M(Cole~Porter, Con Conrad, Herb Magidson ""The Continental; AA Best Song)",|,,,,,,,,,,,,,
MSa7,1935.00 ,D:Sandrich,P:Berman,St:RKO,bnw,Musc,"H****, AAN","London, England",M(Irving Berlin; AAN best song) Inc(3.3M),|,,,,,,,,,,,,,
MSa8,1936.00 ,D:Sandrich,P:Berman,St:RKO,bnw,Musc,H**,"port, USA",VT() M(Irving Berlin),|,,,,,,,,,,,,,
MSa9,1936.00 ,D:Sandrich,P:Berman,St:RKO,bnw,Dram,,England; T(1850),Seen(2Jul1990) VT(),|,,,,,,,,,,,,,
MSa10,1937.00 ,D:Sandrich,P:Berman,St:RKO,bnw,Musc,H**,,"C(david Abel) M(George Gershwin, Ira Gershwin; AAN) Seen(11Nov1989) VT()",|,,,,,,,,,,,,,
MSa12,1938.00 ,D:Sandrich,P:Berman,St:RKO,bnw,Musc,H*,,"M(Irving Berlin, Victor Bravelle; AAN) VT()",|,,,,,,,,,,,,,
MSa16,1942.00 ,D:Sandrich,PN:,SU:,prc,Ctxx,aw,lc,,|,,,,,,,,,,,,,
MSa19,1944.00 ,D:Sandrich,PN:,SU:,prc,Ctxx,aw,lc,,|,,,,,,,,,,,,,
MdO,1930.00 ,D:deOliveira,prds,st.,p,ct,aw,lc,Nt(first?),|,,,,,,,,,,,,,
MdO10,1931.00 ,D:deOliveira,P:DeOliveira,SU:,prc,Docu,aw,"Oporto, Portugal",Le(21min),|,,,,,,,,,,,,,
MdO30,1942.00 ,D:deOliveira,PN:,SU:,prc,Docu,aw,"Oporto, Portugal",W(deOliveiro),|,,,,,,,,,,,,,
MdO60,1962.00 ,D:deOliveira,PN:deOliveira,SU:,prc,Docu,aw,"Curalha, village, Portugal",W(deOliveiro),|,,,,,,,,,,,,,
MdO62,1964.00 ,D:deOliveira,PN:deOliveira,SU:,prc,Docu,aw,"Curalha, village, Portugal",W(deOliveiro) Alt(T:The Hunt),|,,,,,,,,,,,,,
MdO70,1975.00 ,D:deOliveira,PN:deOliveira,SU:,prc,Dram,aw,,W(deOliveiro) B(Jose Regio),|,,,,,,,,,,,,,
MdO75,1978.00 ,D:deOliveira,PN:,SU:,prc,Dram,aw,T(1800),W(deOliveiro) Le(278min) B(Jose Regio),|,,,,,,,,,,,,,
MdO81,1981.00 ,D:deOliveira,PN:,SU:,prc,"Romt,Dram",aw,,"W(deOliveiro) B(Fanny Owen,) Ser(Branco; 1) Le(166min)",|,,,,,,,,,,,,,
MdO85,1985.00 ,D:deOliveira,PN:,SU:,prc,"Romt,Dram",aw,"csd, Italy; Escurial, palace, Spain; ships, North Sea","W(deOliveiro) B(Paul Claudel ""Le Soulier de Satin) Le(7h) Lang{\Fr Le(410min)",|,,,,,,,,,,,,,
MdO87,1986.00 ,D:deOliveira,PN:,SU:,prc,"Comd,Dram",aw,,"W(deOliveiro) B(Jose Regio) Lang(\Po,\GB)",|,,,,,,,,,,,,,
MdO100,1990.00 ,D:deOliveira,PN:,SU:,prc,Avant Garde,aw,lc,,|,,,,,,,,,,,,,
MdO105,1986.00 ,D:deOliveira,PN:,SU:,prc,Dram,aw,,W(deOliveiro) B(Dante Aleghieri),|,,,,,,,,,,,,,
MdO111,1992.00 ,D:deOliveira,PN:,SU:,prc,"Docu,Dram",aw,,W(deOliveiro) Ser(Branco; 2),|,,,,,,,,,,,,,
MdO115,1992.00 ,D:deOliveira,PN:,SU:,prc,"Docu,Dram",aw,,"W(deOliveiro) B(Flaubert ""Madame Bovary) Lang(\Pg)",|,,,,,,,,,,,,,
MdO121,1999.00 ,D:deOliveira,PU:,SU:,prc,Romt,,nunnery,,|,,,,,,,,,,,,,
NGr,1930.00 ,D:Grinde,prds,st.,p,ct,aw,lc,Nt(first?),|,,,,,,,,,,,,,
NGr10,1930.00 ,D:Grinde,PN:,St:MGM,bnw,Musc,H,"college, US",,|,,,,,,,,,,,,,
NGr20,1940.00 ,D:Grinde,PN:Wallace MacDonald,St:Columbia,\Ecol,Horr,H*,,,|,,,,,,,,,,,,,
RMi,1930.00 ,D:Milton,prds,st.,p,ct,aw,lc,Nt(first?),|,,,,,,,,,,,,,
RMi8,1930.00 ,D:Milton,PU:,SU:,bnw,Dram,aw,"ship, heaven",B(Sutton Vane),|,,,,,,,,,,,,,
RM110,1932.00 ,D:Milton,P:Selznick,St:RKO,bnw,Dram,aw,lc,,|,,,,,,,,,,,,,
SGB,1930.00 ,D:Bennet,prds,st.,p,ct,aw,lc,Nt(first?),|,,,,,,,,,,,,,
SGB10,1930.00 ,D:Bennet,PN:,SU:,prc,West,aw,lc,Ser(),|,,,,,,,,,,,,,
SGB30,1937.00 ,D:Bennet,PN:,SU:,prc,Advt,aw,lc,Ser(),|,,,,,,,,,,,,,
SGB50,1942.00 ,D:Bennet,PN:,SU:,prc,West,aw,lc,Ser(),|,,,,,,,,,,,,,
SGB60,1948.00 ,D:Bennet,PN:,S:Columbia,"bnw, TV",Actn,H,lc,CoD(Thomas Carr) Ser(1:15),|,,,,,,,,,,,,,
SGB75,1948.00 ,D:Bennet,PN:,SU:,prc,Actn,aw,lc,Ser(),|,,,,,,,,,,,,,
SGB90,1951.00 ,D:Bennet,PN:,SU:,prc,Advt,aw,lc,Ser(),|,,,,,,,,,,,,,
SGB110,1952.00 ,D:Bennet,PN:,SU:,prc,Advt,aw,lc,,|,,,,,,,,,,,,,
SGB120,1960.00 ,D:Bennet,PN:,SU:,prc,ScFi,aw,lc,,|,,,,,,,,,,,,,
SGB130,1965.00 ,D:Bennet,PN:,SU:,prc,Actn,aw,lc,,|,,,,,,,,,,,,,
SlD,1930.00 ,D:Dudow,prds,st.,p,ct,aw,lc,Nt(first?),|,,,,,,,,,,,,,
SlD10,1932.00 ,D:Dudow,PN:,SU:,bnw,Dram,aw,"vacation colony, Berlin, Germany T(1932)","W(B~Brecht, Ernst Ottwald) Alt(T:Wem gehort die Welt?) Note(Production supported by Communist Party) Seen(5Jul1998)",|,,,,,,,,,,,,,
Z11,1930.00 ,D:Unknown11,prds,st.,p,ct,aw,lc,Nt(first?),|,,,,,,,,,,,,,
Z1210,1928.00 ,D:Unknown12,PN:,SU:,prc,Dram,aw,"Napa, CA",B(Sidney Howard),|,,,,,,,,,,,,,
Z1120,1930.00 ,D:Unknown11,PN:,SU:,prc,Dram,aw,"Napa, CA",B(Sidney Howard),|,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
"1931: Interesting Movies with sound, Directors starting 1931",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
CWi,1931.00 ,D:C.Wiene,prds,st.,p,ct,aw,lc,Nt(first?),|,,,,,,,,,,,,,
CWi10,1931.00 ,D:C.Wiene,PN:,SU:,bnw,Musc,aw,"Vienna, Austria",,|,,,,,,,,,,,,,
ELC,1931.00 ,D:E.L.Cahn,prds,st.,p,ct,aw,lc,Nt(first),|,,,,,,,,,,,,,
ELC2,1932.00 ,D:E.L.Cahn,PN:,St:Universal,\Tcol,,,,W(J.Huston),|,,,,,,,,,,,,,
ELC195,1958.00 ,D:E.L.Cahn,PN:,St:U.A.,bnw,Horr,,"Pompei, Italy",,|,,,,,,,,,,,,,
ELC200,1959.00 ,D:E.L.Cahn,PN:Robert E. Kent,St:U.A.,bnw,Advt,,"Havana, Cuba",,|,,,,,,,,,,,,,
ELC201,1959.00 ,D:E.L.Cahn,PN:,SU:,prc,Ctxx,,,,|,,,,,,,,,,,,,
ELC202,1959.00 ,D:E.L.Cahn,PN:,SU:,prc,Ctxx,,,,|,,,,,,,,,,,,,
ELC203,1959.00 ,D:E.L.Cahn,PN:,SU:,prc,Ctxx,,,,|,,,,,,,,,,,,,
ELC204,1959.00 ,D:E.L.Cahn,PN:,SU:,prc,Ctxx,,,,|,,,,,,,,,,,,,
ELC205,1959.00 ,D:E.L.Cahn,PN:,SU:,prc,Ctxx,,,,|,,,,,,,,,,,,,
ETG,1931.00 ,D:Greville,prds,st.,p,ct,aw,lc,Nt(first?),|,,,,,,,,,,,,,
ETG3,1931.00 ,D:Greville,PN:,SU:,prc,,aw,train,Lang(\Fr),|,,,,,,,,,,,,,
ETG10,1960.00 ,D:Greville,PN:,St:Renown,prc,"Dram,Docu",aw,England,M(John Barry) Alt(T:Wild for Kicks; USA),|,,,,,,,,,,,,,
ETG12,1961.00 ,D:Greville,"PN:Steven Pallos, Donald taylor",St:Continental,bnw,Horr,aw,"Marseille, France",,|,,,,,,,,,,,,,
FNK,1931.00 ,D:Kortner,prds,st.,p,ct,aw,lc,Nt(first),|,,,,,,,,,,,,,
FNK2,1933.00 ,D:Kortner,PN:,SU:,prc,Ctxx,aw,lc,,|,,,,,,,,,,,,,
FNK6,1962.00 ,D:Kortner,PN:,SU:,prc,Ctxx,aw,lc,,|,,,,,,,,,,,,,
GeG,1931.00 ,D:Gerrard,prds,st.,p,ct,aw,lc,Nt(first?),|,,,,,,,,,,,,,
GeG10,1931.00 ,D:Gerrard,PN:,St:BIP,bnw,CTxx,(H),lc,CoD(John Orton),|,,,,,,,,,,,,,
GeK,1931.00 ,D:G.King,prds,st.,p,ct,aw,lc,Nt(first),|,,,,,,,,,,,,,
GeK1,1931.00 ,D:G.King,PN:,SU:,prc,Ctxx,aw,lc,,|,,,,,,,,,,,,,
GeK5,1936.00 ,D:G.King,P:G.King,SU:,bnw,Dram,H*,"London, England",B(George DidbinPitt),|,,,,,,,,,,,,,
GeK10,1939.00 ,D:G.King,P:G.King,SU:,bnw,Dram,H,China,,|,,,,,,,,,,,,,
GeK20,1942.00 ,D:G.King,P:G.King,"St:British Aviation, SL:\GB",bnw,Dram,H,lc,Alt(T:At Dawn We Die; USA),|,,,,,,,,,,,,,
GeK25,1942.00 ,D:G.King,P:G.King,SU:,prc,Ctxx,aw,lc,,|,,,,,,,,,,,,,
GeK30,1946.00 ,D:G.King,P:G.King,SU:,prc,Ctxx,aw,lc,,|,,,,,,,,,,,,,
IAg,1931.00 ,D:Argyle,prds,st.,p,ct,aw,lc,Nt(first?),|,,,,,,,,,,,,,
IAg10,1931.00 ,D:Argyle,PN:,SU:,prc,Ctxx,aw,lc,,|,,,,,,,,,,,,,
IAg12,1931.00 ,D:Argyle,PN:,SU:,prc,Ctxx,aw,lc,,|,,,,,,,,,,,,,
IAg10,1931.00 ,D:Argyle,P:Argyle,SU:,prc,Ctxx,aw,lc,,|,,,,,,,,,,,,,
JNm,1931.00 ,D:J.Newman,prds,st.,p,ct,aw,lc,Nt(first),|,,,,,,,,,,,,,
JNm25,1953.00 ,D:J.Newman,P:Robert Bassler,St:Fox,bnw,Susp,H*,,"VT() Seen(22Nov1989) B(John Dickson Carr) Nt(based on radio serial ""Cabin 18B)",|,,,,,,,,,,,,,
JNm30,1955.00 ,D:J.Newman,PN:William Alland,St:U-I,\Tcol,ScFi,H**,space,R(PG),|,,,,,,,,,,,,,
JNm32,1956.00 ,D:J.Newman,P:Newman,SU:,prc,CTxx,,HongKong,|,,,,,,,,,,,,,,
JNm40,1959.00 ,D:J.Newman,PN:Al Zimbalist,St:MGM,col,,H**,Africa,"Ser(Tarzan, 73)",|,,,,,,,,,,,,,
JNm60,1963.00 ,D:J.Newman,P:Hitchcock,"St:Shamley,CBS","bnw,TV",Susp,,,"TV(10May1963) Le(1h) B(Richard Levinson, William Link) W(Richard Levinson, William Link, James Bridges)",|,,,,,,,,,,,,,
JNm61,1963.00 ,D:J.Newman,P:Hitchcock,"St:Shamley,CBS","bnw,TV",Susp,,,TV(24May1963) Le(1h) B(Douglas Warner) W(Leigh Brackett),|,,,,,,,,,,,,,
JNm62,1964.00 ,D:J.Newman,P:Hitchcock,"St:Shamley,CBS","bnw,TV",Susp,,,TV(3Jan1964) Le(1h),|,,,,,,,,,,,,,
